"s","l","n"
"http://dbpedia.org/resource/John_Wood_Group","http://dbpedia.org/resource/United_Kingdom",60000
"http://dbpedia.org/resource/John_Wood_Group","http://dbpedia.org/resource/Scotland",60000
"http://dbpedia.org/resource/M.H._Alshaya_Co.","http://dbpedia.org/resource/Kuwait",60000
"http://dbpedia.org/resource/Mansour_Group","http://dbpedia.org/resource/Cairo,_Egypt",60000
"http://dbpedia.org/resource/Murata_Manufacturing","http://dbpedia.org/resource/Japan",59978
"http://dbpedia.org/resource/Komatsu_Limited","http://dbpedia.org/resource/Japan",59632
"http://dbpedia.org/resource/Telus","http://dbpedia.org/resource/British_Columbia",59300
"http://dbpedia.org/resource/Techint","http://dbpedia.org/resource/Italy",59196
"http://dbpedia.org/resource/Techint","http://dbpedia.org/resource/Argentina",59196
"http://dbpedia.org/resource/Fujikura","http://dbpedia.org/resource/Japan",58422
"http://dbpedia.org/resource/BSH_Hausgeräte","http://dbpedia.org/resource/Germany",58200
"http://dbpedia.org/resource/HSBC_Finance","http://dbpedia.org/resource/United_States",58000
"http://dbpedia.org/resource/Dixy","http://dbpedia.org/resource/Russia",58000
"http://dbpedia.org/resource/GKN","http://dbpedia.org/resource/Worcestershire",58000
"http://dbpedia.org/resource/Esquel_Group","http://dbpedia.org/resource/Hong_Kong",57000
"http://dbpedia.org/resource/Genting_Group","http://dbpedia.org/resource/Malaysia",56000
"http://dbpedia.org/resource/Boots_(company)","http://dbpedia.org/resource/United_Kingdom",56000
"http://dbpedia.org/resource/URS_Corporation","http://dbpedia.org/resource/United_States",56000
"http://dbpedia.org/resource/Boots_(company)","http://dbpedia.org/resource/Nottinghamshire",56000
"http://dbpedia.org/resource/InnoLux_Corporation","http://dbpedia.org/resource/Taiwan",56000
"http://dbpedia.org/resource/Kimberly-Clark_de_México","http://dbpedia.org/resource/Mexico",56000
"http://dbpedia.org/resource/Transnet","http://dbpedia.org/resource/South_Africa",55946
"http://dbpedia.org/resource/HeidelbergCement","http://dbpedia.org/resource/Germany",55047
